qid,docid,docno,rank,score,query,run_id
MB04,379,2041973143313735695,7,7.702811156988961,intercepting missiles drones,BM25_lexemes
MB04,315,2043932773380174155,8,7.510812399938475,intercepting missiles drones,BM25_lexemes
MB04,328,2043225079988048080,9,7.510812399938475,intercepting missiles drones,BM25_lexemes
MB04,307,2044427189308022874,10,7.3825123219599025,intercepting missiles drones,BM25_lexemes
MB04,317,2043841294741688481,11,7.336021623229322,intercepting missiles drones,BM25_lexemes
MB04,381,2041956881044824180,12,7.192011704762077,intercepting missiles drones,BM25_lexemes
MB04,394,2041887102116217327,13,7.172440660538509,intercepting missiles drones,BM25_lexemes
MB04,325,2043272541414826137,14,7.1368527980362595,intercepting missiles drones,BM25_lexemes
MB04,333,2042965263859999161,15,7.1368527980362595,intercepting missiles drones,BM25_lexemes
MB04,359,2042302133610168738,16,7.128737663546217,intercepting missiles drones,BM25_lexemes
MB04,383,2041910637744284140,17,7.113065321827096,intercepting missiles drones,BM25_lexemes
MB04,301,2045227088437997935,18,6.963498246397421,intercepting missiles drones,BM25_lexemes
MB04,345,2042554367539044512,19,6.963498246397421,intercepting missiles drones,BM25_lexemes
MB04,306,2044436974035980766,20,6.798365568403584,intercepting missiles drones,BM25_lexemes
MB04,342,2042606291000979818,21,6.798365568403584,intercepting missiles drones,BM25_lexemes
MB04,346,2042491002603061392,22,6.798365568403584,intercepting missiles drones,BM25_lexemes
MB04,386,2041903437932020199,23,6.771273349168768,intercepting missiles drones,BM25_lexemes
MB04,335,2042910570622357536,24,6.675109513795166,intercepting missiles drones,BM25_lexemes
MB04,320,2043598876813467803,25,6.670030652857042,intercepting missiles drones,BM25_lexemes
MB04,380,2041961120723038433,26,6.640883392064451,intercepting missiles drones,BM25_lexemes
MB04,311,2044037152716013858,27,6.635321319255212,intercepting missiles drones,BM25_lexemes
MB04,314,2043934581552787948,28,6.635321319255212,intercepting missiles drones,BM25_lexemes
MB04,305,2044674816972890502,29,6.564455302691811,intercepting missiles drones,BM25_lexemes
MB05,405,2045459126311067980,0,5.1604183212901225,revolutionary guard iran,BM25_lexemes
MB05,437,2045424407573635553,1,4.146727126798587,revolutionary guard iran,BM25_lexemes
MB05,436,2045426561290285330,2,3.844554428757548,revolutionary guard iran,BM25_lexemes
MB05,498,2045310239486915006,3,3.844554428757548,revolutionary guard iran,BM25_lexemes
MB05,410,2045451395625619495,4,3.6664384412005084,revolutionary guard iran,BM25_lexemes
MB05,415,2045446936527024532,5,3.583429334859716,revolutionary guard iran,BM25_lexemes
MB05,488,2045338968556810498,6,3.583429334859716,revolutionary guard iran,BM25_lexemes
MB05,207,2045460899629027460,7,3.52148131612967,revolutionary guard iran,BM25_lexemes
MB05,416,2045446414579253519,8,3.492656954705885,revolutionary guard iran,BM25_lexemes
MB05,428,2045435273732047300,9,3.4281987380983545,revolutionary guard iran,BM25_lexemes
MB05,467,2045392249698041875,10,3.3555198459728914,revolutionary guard iran,BM25_lexemes
MB05,474,2045366687168401511,11,3.3555198459728914,revolutionary guard iran,BM25_lexemes
MB05,413,2045449234804068693,12,3.3175085160282327,revolutionary guard iran,BM25_lexemes
MB05,407,2045453851889950937,13,3.2858586093718523,revolutionary guard iran,BM25_lexemes
MB05,424,2045436789557764567,14,3.2361195311664543,revolutionary guard iran,BM25_lexemes
MB05,438,2045423473380532720,15,3.2361195311664543,revolutionary guard iran,BM25_lexemes
MB05,472,2045370881032265777,16,3.2190309093154785,revolutionary guard iran,BM25_lexemes
MB05,403,2045460939474968746,17,3.1548673066918203,revolutionary guard iran,BM25_lexemes
MB05,419,2045444225110626383,18,3.1548673066918203,revolutionary guard iran,BM25_lexemes
MB05,404,2045460237138997688,19,3.093211607810493,revolutionary guard iran,BM25_lexemes
MB05,417,2045446184953671969,20,3.093211607810493,revolutionary guard iran,BM25_lexemes
MB05,422,2045437779526738109,21,3.093211607810493,revolutionary guard iran,BM25_lexemes
MB05,448,2045406410104594882,22,3.093211607810493,revolutionary guard iran,BM25_lexemes
MB05,449,2045406049868382666,23,3.093211607810493,revolutionary guard iran,BM25_lexemes
MB05,450,2045405977751560313,24,3.093211607810493,revolutionary guard iran,BM25_lexemes
MB05,451,2045405875834105981,25,3.093211607810493,revolutionary guard iran,BM25_lexemes
MB05,452,2045405640600809490,26,3.093211607810493,revolutionary guard iran,BM25_lexemes
MB05,453,2045405560237940938,27,3.093211607810493,revolutionary guard iran,BM25_lexemes
MB05,454,2045404875396202597,28,3.093211607810493,revolutionary guard iran,BM25_lexemes
MB05,455,2045404681820688467,29,3.093211607810493,revolutionary guard iran,BM25_lexemes
MB01,74,2045436304238764390,0,4.187885510361576,regime change iran,TF_IDF_lexemes
MB01,3,2045459926248829101,1,4.172555856411254,regime change iran,TF_IDF_lexemes
MB01,2,2045460590563410352,2,4.050441007042098,regime change iran,TF_IDF_lexemes
MB01,53,2045441340368957757,3,4.050441007042098,regime change iran,TF_IDF_lexemes
MB01,89,2045434295410462920,4,4.050441007042098,regime change iran,TF_IDF_lexemes
MB01,20,2045453809359462654,5,3.95128318987664,regime change iran,TF_IDF_lexemes
MB01,36,2045447868765687984,6,3.9352705953064886,regime change iran,TF_IDF_lexemes
MB01,43,2045445702428315950,7,3.9352705953064886,regime change iran,TF_IDF_lexemes
MB01,25,2045452145101619611,8,3.82646862383372,regime change iran,TF_IDF_lexemes
MB01,28,2045451431981748380,9,3.82646862383372,regime change iran,TF_IDF_lexemes
MB01,44,2045444785696076112,10,3.82646862383372,regime change iran,TF_IDF_lexemes
MB01,76,2045436169584808399,11,3.82646862383372,regime change iran,TF_IDF_lexemes
MB01,95,2045433045063258122,12,3.82646862383372,regime change iran,TF_IDF_lexemes
MB01,69,2045437692511711397,13,3.723521081924657,regime change iran,TF_IDF_lexemes
MB01,81,2045435852072092103,14,3.723521081924657,regime change iran,TF_IDF_lexemes
MB01,99,2045432568154042718,15,3.723521081924657,regime change iran,TF_IDF_lexemes
MB01,31,2045450762353090823,16,3.625967825547127,regime change iran,TF_IDF_lexemes
MB01,93,2045433390967517552,17,3.6143964488331495,regime change iran,TF_IDF_lexemes
MB01,59,2045440283559784730,18,3.5386951970454787,regime change iran,TF_IDF_lexemes
MB01,65,2045438432747667600,19,3.533395701169289,regime change iran,TF_IDF_lexemes
MB01,66,2045438384320205216,20,3.533395701169289,regime change iran,TF_IDF_lexemes
MB01,72,2045436749246255493,21,3.533395701169289,regime change iran,TF_IDF_lexemes
MB01,98,2045432583836598399,22,3.533395701169289,regime change iran,TF_IDF_lexemes
MB01,144,2045379660976939335,23,3.533395701169289,regime change iran,TF_IDF_lexemes
MB01,146,2045379059228487850,24,3.533395701169289,regime change iran,TF_IDF_lexemes
MB01,46,2045443906599346534,25,3.4770848196166115,regime change iran,TF_IDF_lexemes
MB01,0,2045461003153162682,26,3.445432696675722,regime change iran,TF_IDF_lexemes
